Node,C92ICY6VWN,CBDWGRJVVL,CAKIJ91SJ7,C9EQAVY4YU
0,45.37331251,66.2667181751,58.5064434316,50.6915218902
900,45.6147954698,66.8162975096,58.822229436,50.8435158079
1800,45.6645748615,66.9273155115,58.7397390765,50.2361150086
2700,45.8084464466,67.2308915787,58.9337146366,50.80613627
3600,46.2717487861,67.3027309595,59.7086459871,51.0382314554
4500,46.3125331065,67.6618073844,59.6849017241,51.2288093957
5400,46.5922501719,67.5604422577,59.1311581455,51.0808575448
6300,46.9079906127,67.6964199546,59.6776158662,51.4969714318
7200,46.8639930881,68.018310668,60.0352598795,51.4485806286
8100,46.3955345293,68.2311322693,59.8832629749,51.6206864142
9000,46.8701227122,68.122086851,59.8336723268,51.3147801702
9900,46.6475233673,67.6353990905,59.5014679543,51.4762951983
10800,46.8566968939,68.1372333793,59.8641427573,51.6890567723
11700,47.137350544,68.045081765,59.8581116131,51.4052929578
12600,46.7141520017,68.136051258,59.8888066665,51.365777856
13500,46.7889149194,68.1183791621,59.9239476486,51.7895295391
14400,47.1584182696,67.8757983229,60.0639151262,51.7344315608
15300,46.881825632,68.0029854308,59.8108091859,51.4738193852
16200,47.0366827745,68.2127707063,60.045123914,51.9783531259
17100,46.8496822905,67.9634881372,60.0001763554,51.8821827322
18000,46.8280446005,67.6625236826,60.0149647148,51.6164637168
18900,46.0582482733,67.819932747,59.8609273039,51.6691505684
19800,45.834056951,67.5660013965,59.8620449951,51.9814712478
20700,45.3009393138,67.2230667612,59.8721296353,51.5207701661
21600,44.8964314176,67.2602531098,59.3020254275,51.2197858576
22500,44.1431445765,67.1718240201,59.7085102403,51.3183849466
23400,42.8847610083,66.3275279688,58.8092324009,50.9701305691
24300,42.5457850906,65.9477107395,58.7407407425,50.6103454598
25200,40.7139588851,65.0476867387,57.5553289291,49.7570530241
26100,40.9506243318,65.0549208601,57.7419914343,49.8039043694
27000,40.3566782957,64.5153949764,57.1513182565,48.8899588308
27900,39.355095121,63.7134273521,56.7393441483,48.1979506466
28800,39.334385044,63.6309767058,56.4243273518,48.0544221864
29700,39.1229196117,63.4409198083,55.8408198363,48.0451026478
30600,39.1212564081,63.4167987344,55.9831136422,47.9209288306
31500,38.4067383873,62.7814426506,55.5538748232,47.1712866857
32400,38.2431716951,62.9153505987,55.496155433,47.2450668266
33300,38.6966525647,62.7239614722,55.4373566847,47.2396904347
34200,38.3874542492,62.4609366116,55.3499426162,46.5798792263
35100,37.7364374915,62.0137458049,54.8370727522,46.5635262034
36000,37.4455173823,61.6061668012,54.2504567691,46.0959035169
36900,37.5047378622,61.4773573403,54.5896390884,45.9174031011
37800,37.3073926968,61.6227283712,54.0686393287,46.4281330211
38700,37.6971478783,61.5712979433,54.8598844545,45.9673164488
39600,37.4401710208,61.2564547178,54.4797295159,46.2406762159
40500,37.4412262302,61.9853151206,54.015655744,46.0429049573
41400,37.8189003747,61.7893377562,54.305647348,46.2944426954
42300,37.3882931317,61.7178582074,54.8488912279,46.1439169343
43200,37.4999116158,61.419417091,53.870666302,45.629230526
44100,37.7007740165,61.5942121179,54.2120128224,45.7004656904
45000,37.9574495556,61.7106156259,54.6417214589,46.3235441069
45900,37.9394809497,62.0221629136,54.6788918772,46.2896341722
46800,37.6741554326,61.5046868439,54.3578402318,46.1357400417
47700,38.0993212164,62.3078820631,55.0922246293,46.4699105828
48600,37.8201882564,61.8130589067,54.6778388406,46.5114365265
49500,38.4368196804,62.2437912755,54.7326309373,46.6744491338
50400,38.4259487104,62.2390445318,54.9844360491,47.0752317667
51300,38.2333608708,62.4346450501,55.2667141052,46.6140433576
52200,38.4047839742,62.3228765344,55.0177674033,46.5564873725
53100,38.3713798207,62.2410688444,55.2110856149,46.8008978772
54000,38.9828641404,62.8889958226,55.5184653229,47.2548049321
54900,38.7054934224,62.6406356565,55.5147415254,47.1364639902
55800,38.8771489278,62.9293469577,55.4858907506,47.2297629455
56700,38.4657614568,62.7422026866,55.4303990099,47.0014228263
57600,38.811576634,62.6071229626,55.7339545696,47.3760538092
58500,38.812139148,63.1358283553,56.0941757336,47.3786708734
59400,38.7767945973,62.4522375961,55.4646877618,47.2069293155
60300,38.902148807,62.9176698447,55.5010653575,47.2891075225
61200,38.6928428446,63.0707293078,55.5560781311,47.5363976872
62100,39.2537770417,63.3662052638,55.7807973993,47.8906956761
63000,39.0180512087,63.1602348294,56.0053380883,47.807634191
63900,38.7260670384,62.8379751351,56.1775802922,47.3856518756
64800,39.1155017768,63.2966113614,55.9529935226,48.1438005142
65700,39.0770670069,63.0977914101,56.0377618624,47.8610979081
66600,38.8441724227,62.9726953453,55.8583346417,47.8160910005
